year_month,state_final,district_norm,demo_age_5_17,demo_age_17_,total_demographic_updates
2025-03,andaman and nicobar islands,nicobar,32,360,392
2025-03,andaman and nicobar islands,north and middle andaman,20,402,422
2025-03,andaman and nicobar islands,south andaman,74,450,524
2025-03,andhra pradesh,adilabad,390,3950,4340
2025-03,andhra pradesh,alluri sitharama raju,507,4448,4955
2025-03,andhra pradesh,anakapalli,373,2791,3164
2025-03,andhra pradesh,anantapur,953,19013,19966
2025-03,andhra pradesh,ananthapur,2020,7310,9330
2025-03,andhra pradesh,ananthapuramu,2547,7891,10438
2025-03,andhra pradesh,annamayya,526,3272,3798
2025-03,andhra pradesh,bapatla,232,1653,1885
2025-03,andhra pradesh,chittoor,4070,38298,42368
2025-03,andhra pradesh,cuddapah,1786,16961,18747
2025-03,andhra pradesh,dr. b. r. ambedkar konaseema,240,2136,2376
2025-03,andhra pradesh,east godavari,3391,37620,41011
2025-03,andhra pradesh,eluru,283,2536,2819
2025-03,andhra pradesh,guntur,3060,40302,43362
2025-03,andhra pradesh,hyderabad,695,6045,6740
2025-03,andhra pradesh,kakinada,638,4748,5386
2025-03,andhra pradesh,karimnagar,93,766,859
2025-03,andhra pradesh,khammam,431,4962,5393
2025-03,andhra pradesh,krishna,1711,21831,23542
2025-03,andhra pradesh,kurnool,3650,31715,35365
2025-03,andhra pradesh,mahabub nagar,26,184,210
2025-03,andhra pradesh,mahbubnagar,169,1133,1302
2025-03,andhra pradesh,medak,215,1387,1602
2025-03,andhra pradesh,n. t. r,775,6936,7711
2025-03,andhra pradesh,nalgonda,146,2240,2386
2025-03,andhra pradesh,nandyal,339,2135,2474
2025-03,andhra pradesh,nellore,944,16115,17059
2025-03,andhra pradesh,nizamabad,53,476,529
2025-03,andhra pradesh,palnadu,323,2765,3088
2025-03,andhra pradesh,parvathipuram manyam,201,1664,1865
2025-03,andhra pradesh,prakasam,2116,27970,30086
2025-03,andhra pradesh,rangareddi,463,3060,3523
2025-03,andhra pradesh,sri potti sriramulu nellore,392,2890,3282
2025-03,andhra pradesh,sri sathya sai,535,2386,2921
2025-03,andhra pradesh,srikakulam,5275,37687,42962
2025-03,andhra pradesh,tirupati,478,4139,4617
2025-03,andhra pradesh,visakhapatnam,3222,36984,40206
2025-03,andhra pradesh,vizianagaram,2141,20324,22465
2025-03,andhra pradesh,warangal,728,6167,6895
2025-03,andhra pradesh,west godavari,2189,27673,29862
2025-03,andhra pradesh,y. s. r,274,1877,2151
2025-03,arunachal pradesh,anjaw,24,210,234
2025-03,arunachal pradesh,changlang,73,1120,1193
2025-03,arunachal pradesh,east siang,19,151,170
2025-03,arunachal pradesh,kra daadi,26,105,131
2025-03,arunachal pradesh,lohit,30,234,264
2025-03,arunachal pradesh,longding,45,285,330
2025-03,arunachal pradesh,lower dibang valley,36,249,285
2025-03,arunachal pradesh,lower siang,22,66,88
2025-03,arunachal pradesh,lower subansiri,41,280,321
2025-03,arunachal pradesh,namsai,50,553,603
2025-03,arunachal pradesh,papum pare,163,1311,1474
2025-03,arunachal pradesh,siang,25,159,184
2025-03,arunachal pradesh,tawang,27,117,144
2025-03,arunachal pradesh,tirap,18,235,253
2025-03,arunachal pradesh,upper siang,12,40,52
2025-03,arunachal pradesh,upper subansiri,106,570,676
2025-03,arunachal pradesh,west kameng,25,116,141
2025-03,arunachal pradesh,west siang,110,1156,1266
2025-03,assam,baksa,397,4438,4835
2025-03,assam,barpeta,821,9181,10002
2025-03,assam,biswanath,227,2732,2959
2025-03,assam,bongaigaon,699,8681,9380
2025-03,assam,cachar,1234,10000,11234
2025-03,assam,charaideo,145,1953,2098
2025-03,assam,chirang,179,1711,1890
2025-03,assam,darrang,661,5819,6480
2025-03,assam,dhemaji,534,5979,6513
2025-03,assam,dhubri,1070,10824,11894
2025-03,assam,dibrugarh,338,5542,5880
2025-03,assam,goalpara,768,6461,7229
2025-03,assam,golaghat,587,8416,9003
2025-03,assam,hailakandi,211,1822,2033
2025-03,assam,hojai,319,3439,3758
2025-03,assam,jorhat,320,5231,5551
2025-03,assam,kamrup,319,5222,5541
2025-03,assam,kamrup metro,579,5320,5899
2025-03,assam,karbi anglong,675,6192,6867
2025-03,assam,karimganj,567,5374,5941
2025-03,assam,kokrajhar,538,3272,3810
2025-03,assam,lakhimpur,577,9766,10343
2025-03,assam,majuli,55,569,624
2025-03,assam,marigaon,1006,7948,8954
2025-03,assam,nagaon,1216,16723,17939
2025-03,assam,nalbari,509,4658,5167
2025-03,assam,north cachar hills,74,648,722
2025-03,assam,sibsagar,146,1460,1606
2025-03,assam,sonitpur,802,9796,10598
2025-03,assam,south salmara mankachar,197,3153,3350
2025-03,assam,tinsukia,499,7786,8285
2025-03,assam,udalguri,367,4869,5236
2025-03,assam,west karbi anglong,56,360,416
2025-03,bihar,araria,2774,32707,35481
2025-03,bihar,arwal,558,5961,6519
2025-03,bihar,aurangabad,2788,23698,26486
2025-03,bihar,banka,2100,23353,25453
2025-03,bihar,begusarai,3601,28482,32083
2025-03,bihar,bhagalpur,4949,37353,42302
2025-03,bihar,bhojpur,2688,29327,32015
2025-03,bihar,buxar,1661,18351,20012
2025-03,bihar,darbhanga,2612,28474,31086
2025-03,bihar,east champaran,4175,47030,51205
2025-03,bihar,gaya,5828,49924,55752
2025-03,bihar,gopalganj,2129,22709,24838
2025-03,bihar,jamui,1393,15286,16679
2025-03,bihar,jehanabad,988,8898,9886
2025-03,bihar,kaimur (bhabua),847,8728,9575
2025-03,bihar,katihar,2845,33082,35927
2025-03,bihar,khagaria,1450,12708,14158
2025-03,bihar,kishanganj,1811,25016,26827
2025-03,bihar,lakhisarai,777,7918,8695
2025-03,bihar,madhepura,1283,17649,18932
2025-03,bihar,madhubani,3407,41495,44902
2025-03,bihar,munger,992,13363,14355
2025-03,bihar,muzaffarpur,4456,42818,47274
2025-03,bihar,nalanda,2310,21564,23874
2025-03,bihar,nawada,1429,16428,17857
2025-03,bihar,patna,4807,41971,46778
2025-03,bihar,purnia,2194,26114,28308
2025-03,bihar,rohtas,2121,19596,21717
2025-03,bihar,saharsa,1584,18727,20311
2025-03,bihar,samastipur,4382,44385,48767
2025-03,bihar,saran,3695,41077,44772
2025-03,bihar,sheikhpura,490,5055,5545
2025-03,bihar,sheohar,778,7797,8575
2025-03,bihar,sitamarhi,3044,36696,39740
2025-03,bihar,siwan,2637,26684,29321
2025-03,bihar,supaul,1661,29320,30981
2025-03,bihar,vaishali,3660,39009,42669
2025-03,bihar,west champaran,4317,42725,47042
2025-03,chandigarh,chandigarh,1296,8949,10245
2025-03,chhattisgarh,balod,827,10913,11740
2025-03,chhattisgarh,baloda bazar,369,16044,16413
2025-03,chhattisgarh,balrampur,392,4458,4850
2025-03,chhattisgarh,bastar,878,10394,11272
2025-03,chhattisgarh,bemetara,354,10548,10902
2025-03,chhattisgarh,bijapur,294,3385,3679
2025-03,chhattisgarh,bilaspur,1066,19431,20497
2025-03,chhattisgarh,dakshin bastar dantewada,364,771,1135
2025-03,chhattisgarh,dantewada,162,243,405
2025-03,chhattisgarh,dhamtari,382,10273,10655
2025-03,chhattisgarh,durg,1512,10144,11656
2025-03,chhattisgarh,gariyaband,122,5062,5184
