date,state_final,district_norm,age_0_5,age_5_17,age_18_greater,total_enrolments,district
2025-03-02,meghalaya,eastkhasihills,11,61,37,109,East Khasi Hills
2025-03-09,bihar,bhagalpur,13,40,18,71,Bhagalpur
2025-03-09,bihar,madhubani,18,120,22,160,Madhubani
2025-03-09,bihar,purbichamparan,48,120,22,190,Purbi Champaran
2025-03-09,bihar,sitamarhi,127,353,104,584,Sitamarhi
2025-03-09,delhi,westdelhi,122,53,57,232,West Delhi
2025-03-09,haryana,faridabad,80,60,10,150,Faridabad
2025-03-09,haryana,gurugram,18,19,13,50,Gurugram
2025-03-09,karnataka,bengaluruurban,63,80,105,248,Bengaluru Urban
2025-03-09,madhya pradesh,bhind,37,18,11,66,Bhind
2025-03-09,madhya pradesh,gwalior,42,14,14,70,Gwalior
2025-03-09,madhya pradesh,katni,53,42,11,106,Katni
2025-03-09,maharashtra,aurangabad,42,46,12,100,Aurangabad
2025-03-09,punjab,amritsar,14,15,20,49,Amritsar
2025-03-09,rajasthan,sikar,41,36,17,94,Sikar
2025-03-09,uttar pradesh,aligarh,62,29,15,106,Aligarh
2025-03-09,uttar pradesh,bahraich,26,60,14,100,Bahraich
2025-03-09,uttar pradesh,firozabad,28,26,10,64,Firozabad
2025-03-09,uttar pradesh,gautambuddhanagar,25,249,16,290,Gautam Buddha Nagar
2025-03-09,uttar pradesh,ghaziabad,50,113,11,174,Ghaziabad
2025-03-09,uttar pradesh,kanpurnagar,29,82,12,123,Kanpur Nagar
2025-03-09,uttar pradesh,lucknow,23,102,17,142,Lucknow
2025-03-09,uttar pradesh,maharajganj,31,70,13,114,Maharajganj
2025-03-09,west bengal,coochbehar,19,12,19,50,Cooch Behar
2025-03-09,west bengal,dinajpuruttar,26,18,27,71,Dinajpur Uttar
2025-03-15,assam,kokrajhar,35,39,28,102,Kokrajhar
2025-03-15,assam,marigaon,48,43,206,297,Marigaon
2025-03-15,assam,nagaon,19,15,22,56,Nagaon
2025-03-15,bihar,madhubani,15,54,15,84,Madhubani
2025-03-15,bihar,purbichamparan,12,121,13,146,Purbi Champaran
2025-03-15,bihar,sitamarhi,42,117,59,218,Sitamarhi
2025-03-15,delhi,northwestdelhi,35,15,10,60,North West Delhi
2025-03-15,delhi,westdelhi,24,34,18,76,West Delhi
2025-03-15,maharashtra,parbhani,17,14,37,68,Parbhani
2025-03-15,meghalaya,westjaintiahills,92,17,30,139,West Jaintia Hills
2025-03-15,meghalaya,westkhasihills,34,10,148,192,West Khasi Hills
2025-03-15,uttar pradesh,agra,58,238,57,353,Agra
2025-03-15,uttar pradesh,gautambuddhanagar,63,169,42,274,Gautam Buddha Nagar
2025-03-15,uttar pradesh,ghaziabad,79,358,78,515,Ghaziabad
2025-03-15,uttar pradesh,maharajganj,12,55,12,79,Maharajganj
