year_month,state_final,district_norm,age_0_5,age_5_17,age_18_greater,total_enrolments
2025-03,andhra pradesh,spsrnellore,43,44,29,116
2025-03,assam,baksa,11,14,13,38
2025-03,assam,barpeta,24,34,10,68
2025-03,assam,bongaigaon,25,33,31,89
2025-03,assam,chirang,12,29,15,56
2025-03,assam,dhemaji,20,46,19,85
2025-03,assam,dhubri,89,229,98,416
2025-03,assam,dibrugarh,10,12,14,36
2025-03,assam,hojai,27,42,20,89
2025-03,assam,kamrup,13,20,13,46
2025-03,assam,kokrajhar,91,169,80,340
2025-03,assam,lakhimpur,25,34,42,101
2025-03,assam,marigaon,117,184,245,546
2025-03,assam,nagaon,19,15,22,56
2025-03,assam,sonitpur,10,28,43,81
2025-03,assam,tinsukia,84,170,101,355
2025-03,assam,udalguri,10,46,34,90
2025-03,bihar,bhagalpur,13,40,18,71
2025-03,bihar,madhubani,46,235,49,330
2025-03,bihar,muzaffarpur,24,40,10,74
2025-03,bihar,pashchimchamparan,25,88,13,126
2025-03,bihar,patna,12,52,16,80
2025-03,bihar,purbichamparan,60,241,35,336
2025-03,bihar,sitamarhi,336,696,303,1335
2025-03,chhattisgarh,bijapur,66,31,63,160
2025-03,chhattisgarh,raipur,49,15,36,100
2025-03,delhi,northwestdelhi,35,15,10,60
2025-03,delhi,westdelhi,146,87,75,308
2025-03,gujarat,banaskantha,408,223,175,806
2025-03,gujarat,dohad,32,37,41,110
2025-03,gujarat,kachchh,33,13,10,56
2025-03,gujarat,morbi,36,12,23,71
2025-03,gujarat,patan,141,26,23,190
2025-03,gujarat,vadodara,36,43,10,89
2025-03,haryana,faridabad,80,60,10,150
2025-03,haryana,gurugram,18,19,13,50
2025-03,jharkhand,deoghar,12,25,18,55
2025-03,karnataka,bengaluruurban,309,192,231,732
2025-03,madhya pradesh,bhind,54,33,22,109
2025-03,madhya pradesh,gwalior,179,86,62,327
2025-03,madhya pradesh,katni,53,42,11,106
2025-03,maharashtra,aurangabad,196,103,46,345
2025-03,maharashtra,parbhani,17,14,37,68
2025-03,maharashtra,thane,19,13,15,47
2025-03,meghalaya,eastkhasihills,44,92,164,300
2025-03,meghalaya,ribhoi,30,11,26,67
2025-03,meghalaya,westjaintiahills,315,53,142,510
2025-03,meghalaya,westkhasihills,118,113,442,673
2025-03,punjab,amritsar,14,15,20,49
2025-03,punjab,ludhiana,104,13,14,131
2025-03,rajasthan,sikar,41,36,17,94
2025-03,tamil nadu,kanchipuram,12,12,10,34
2025-03,uttar pradesh,agra,280,494,132,906
2025-03,uttar pradesh,aligarh,226,353,44,623
2025-03,uttar pradesh,bahraich,69,241,61,371
2025-03,uttar pradesh,banda,31,24,11,66
2025-03,uttar pradesh,bulandshahr,19,32,10,61
2025-03,uttar pradesh,firozabad,93,77,21,191
2025-03,uttar pradesh,gautambuddhanagar,175,636,72,883
2025-03,uttar pradesh,ghaziabad,129,471,89,689
2025-03,uttar pradesh,gorakhpur,13,36,11,60
2025-03,uttar pradesh,jaunpur,70,213,51,334
2025-03,uttar pradesh,kanpurnagar,47,138,23,208
2025-03,uttar pradesh,lucknow,23,102,17,142
2025-03,uttar pradesh,maharajganj,54,181,47,282
2025-03,uttar pradesh,mathura,39,40,42,121
2025-03,uttar pradesh,saharanpur,91,152,10,253
2025-03,uttar pradesh,unnao,34,136,33,203
2025-03,uttarakhand,dehradun,123,43,10,176
2025-03,uttarakhand,haridwar,17,15,28,60
2025-03,uttarakhand,nainital,46,18,11,75
2025-03,west bengal,coochbehar,19,12,19,50
2025-03,west bengal,dinajpuruttar,26,18,27,71
2025-04,assam,baksa,408,483,187,1078
2025-04,assam,barpeta,138,54,23,215
2025-04,assam,biswanath,104,114,32,250
2025-04,assam,bongaigaon,221,87,61,369
2025-04,assam,cachar,988,461,299,1748
2025-04,assam,charaideo,91,50,164,305
2025-04,assam,chirang,189,199,179,567
2025-04,assam,darrang,654,340,270,1264
2025-04,assam,dhemaji,179,176,52,407
2025-04,assam,dhubri,998,654,80,1732
2025-04,assam,dibrugarh,179,149,186,514
2025-04,assam,goalpara,587,294,283,1164
2025-04,assam,golaghat,568,501,144,1213
2025-04,assam,hailakandi,242,143,78,463
2025-04,assam,hojai,763,253,100,1116
2025-04,assam,jorhat,210,156,154,520
2025-04,assam,kamrup,741,404,179,1324
2025-04,assam,kamrupmetro,276,396,213,885
2025-04,assam,karbianglong,543,1030,323,1896
2025-04,assam,karimganj,508,426,91,1025
2025-04,assam,kokrajhar,301,238,25,564
2025-04,assam,lakhimpur,400,221,93,714
2025-04,assam,marigaon,540,457,96,1093
2025-04,assam,nagaon,504,236,36,776
2025-04,assam,nalbari,55,49,77,181
2025-04,assam,northcacharhills,130,179,99,408
2025-04,assam,sibsagar,220,83,276,579
2025-04,assam,sonitpur,138,169,65,372
2025-04,assam,southsalmaramankachar,176,102,30,308
